sentence	label
Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  	1
He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  	0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.	1
Returned 8 hours later.	0
I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!	0
Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  	1
The internet access was fine, it the rare instance that it worked.	0
Excellent starter wireless headset.	0
It's AGGRAVATING!	0
The stories were as unbelievable as the actors.  	0
Spend your money and time some place else.	0
This short film certainly pulls no punches.  	0
But even the talented Carrell can't save this.  	0
Gets a signal when other Verizon phones won't.	1
I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.	0
This place is two thumbs up....way up.	1
I'd like to return it.	0
It also took her forever to bring us the check when we asked for it.	0
I'd advise anyone to go and see it.  	1
By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	0
OMG I felt like I had never eaten Thai food until this dish.	1
The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.	0
After one bite, I was hooked.	1
Why was this film made?  	0
The service here leaves a lot to be desired.	0
This allows the possibility of double booking for the same date and time after the first.	0
If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  	0
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  	1
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.	0
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  "	0
That was done in the second movie.  	0
Buyer--Be Very Careful!!!!!.	0
It really is impressive that the place hasn't closed down.	0
"The best part about ""Nurse Betty"" is it's unpredictability.  "	1
The noise shield is incrediable.	1
It looses connection to the phone even when it is within a couple feet between the two.	0
What on earth is Irons doing in this film?  	0
I took back my money and got outta there.	0
One of the few places in Phoenix that I would definately go back to again .	1
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  	0
My fella got the huevos rancheros and they didn't look too appealing.	0
