Sentence	Label
हर कीमत पर बचें!	0
गार्बो, जिन्होंने बल्ले से सही दिखाया कि उनकी प्रतिभा मूक युग से आगे बढ़ सकती है (मैं उनके कुछ मूक काम देखना चाहता था, लेकिन नेटफ्लिक्स उन्हें स्टॉक नहीं करता है।	1
हे मेरे पास मेरे पास अब तक का सबसे अच्छा फोन है।	1
मैं इस जगह की सिफारिश नहीं करूंगा।	0
उसकी भूमिका अच्छी थी।	1
अच्छा, मसालेदार और कोमल।	1
सेवा के लिए: मैं एक प्रशंसक हूं, क्योंकि यह त्वरित है और आपको कुछ अच्छे लोगों द्वारा सेवा दी जा रही है।	1
अब पिज्जा ही अच्छा था मूंगफली की चटनी बहुत स्वादिष्ट थी।	1
मैंने कंपनी से संपर्क किया और उन्होंने मुझे बताया कि, हालांकि इकाई अभी भी वारंटी के अधीन थी, अगर मैं अपनी रसीद का उत्पादन नहीं कर सकता था तो मैं भाग्य से बाहर था।	0
मुझे जिस तरह से डस्टिन हॉफमैन का चरित्र अपने बेटे के साथ रहने के लिए सब कुछ करने के लिए तैयार था, वह पसंद आया।	1
ये इतने अच्छे थे कि हमने उन्हें दो बार आदेश दिया।	1
इसमें आमतौर पर कुछ महान चीजें हैं।	1
निराशा .. मुझे अपने कान में जाने वाली किसी भी चीज़ से नफरत है।	0
मुझे चीनी सुलेख दीवार के कागज के साथ सजावट पसंद है।	1
कल रात मेरी दूसरी बार यहाँ भोजन किया गया था और मैं बहुत खुश था मैंने वापस जाने का फैसला किया!	1
उत्कृष्ट ब्लूटूथ हेडसेट।	1
यह आइटम बहुत अच्छा है, इसे स्थापित करें, इसे ओवरनाइट पर आरोपित करें और यह बिना किसी समस्या के हर बार अच्छा काम कर रहा है	1
यह हमेशा काटता है और एक बीप बीप बीप साउंड बनाता है फिर कहते हैं कि सिग्नल फेल हो गया।	0
इस जगह यह है!	1
यह उन सर्वश्रेष्ठ फिल्मों में से एक है जो एक दूसरे के लिए इस तरह के मजबूत बंधन को दर्शाती हैं।	1
मैं पहले यह कहना चाहता हूं कि हमारा सर्वर बहुत अच्छा था और हमारे पास सही सेवा थी।	1
अच्छा मूल्य, बढ़िया भोजन, बढ़िया सेवा।	1
वह आपको टुकड़ों में बोर कर सकता है, और किसी और की तुलना में जल्दी फिल्म की गति को मार सकता है।	0
महान काम करता है, जब मेरी बिल्ली ने फोन पर हमला किया तो उसने स्क्रीन को नष्ट करने के बजाय सुरक्षात्मक पट्टी को खरोंच दिया।	1
यह टीवी फ्लिक के लिए भी अच्छा नहीं होगा।	0
फिल्म के बाकी हिस्सों में कला, आकर्षण, अर्थ का अभाव है ... अगर यह खालीपन के बारे में है, तो यह काम करता है क्योंकि मुझे लगता है कि यह खाली है।	0
इस स्टोर से दूर रहें, सावधान रहें।	0
मैं शायद यहां दोबारा नहीं जाऊंगा।	0
इसे मत खरीदो।	0
मैंने इन उम्मीदों को खरीदा कि मैं अपने ब्लूटूथ हेडसेट को बेहतर बना सकूं लेकिन इन चीजों को पहनना असंभव हो गया।	0
ईयरबड्स में अभी भी सामान की कमी है।	0
ग्राहक सेवा भयानक थी।	0
मुझे इसका उल्लेख करना है और यह एक बहुत बड़ा जासूस है, मुझे अंत से प्यार है, कैसे तीनों फिल्मों के सभी पात्र फेरी आपदा के बचे हुए थे, वेलेंटाइन और युवा जज के साथ, और बूढ़ा आदमी उसे देख रहा था टीवी, उन दुखों पर अपनी खुशी को मजबूत करता है जो उन्होंने उन कई वर्षों से निपटाए थे।	1
प्रभावित नहीं हुआ।	0
एक अलग फोन खरीदें - लेकिन यह नहीं।	0
उत्कृष्ट उत्पाद, मैं खरीद से बहुत संतुष्ट हूं।	1
इसके अलावा, चमड़ा अच्छा और नरम है; फिट बहुत तंग है; चेहरे के लिए कट आउट एक अच्छा आकार है।	1
यह उन परिदृश्यों के व्यापक स्वीप को व्यक्त करने में विफल रहा जो मूल का एक बड़ा हिस्सा थे।	0
मैं बहुत निराश हूं कि इस फिल्म को बहुत सारे पुरस्कार और प्रशंसाएं मिलेंगी, खासकर तब जब फिल्म के अधिक योग्य काम वहां से हों।	0
