Sentence	Label
Por lo tanto, no hay forma de conectarlo aquí en los EE. UU. A menos que vaya por un convertidor.	0
Buen caso, excelente valor.	1
Genial para la quijada.	1
Atado al cargador para conversaciones que duran más de 45 minutos. ¡PROBLEMAS IMPORTANTES!	0
El micrófono es genial.	1
Tengo que mover el enchufe para que se alinee correctamente y obtener un volumen decente.	0
Si tiene varias docenas o varios cientos de contactos, imagine la diversión de enviarlos uno por uno.	0
Si eres propietario de Razr ... ¡debes tener esto!	1
No hace falta decir que desperdicié mi dinero.	0
¡Qué desperdicio de dinero y tiempo!.	0
Y la calidad del sonido es excelente.	1
Estaba muy impresionado al pasar de la batería original a la batería extendida.	1
Si los dos estaban separados por solo 5 pies o más, comencé a notar un sonido excesivo estático y confuso desde los auriculares.	0
Aunque de muy buena calidad	1
El diseño es muy extraño, ya que el &quot;clip&quot; de la oreja no es muy cómodo.	0
Muy recomendable para cualquiera que tenga un teléfono de dientes azules.	1
¡Aconsejo a TODOS que NO SE ENGAÑEN!	0
¡Hasta aquí todo bien!.	1
¡Funciona genial!.	1
Hace clic en su lugar de una manera que te hace preguntarte cuánto tiempo duraría ese mecanismo.	0
Visité el sitio web de Motorola y seguí todas las instrucciones, pero no pude volver a emparejarlo.	0
¡Compré esto para usar con mi Kindle Fire y me encantó!	1
Los comerciales son los más engañosos.	0
Todavía tengo que ejecutar esta nueva batería por debajo de dos barras y eso es tres días sin cargar.	1
Se lo compré a mi madre y ella tuvo un problema con la batería.	0
Gran combinación de Pocket PC / teléfono.	1
He tenido este teléfono durante 7 meses y puedo decir que es el mejor teléfono móvil que he tenido.	1
No pensé que las instrucciones proporcionadas me fueran útiles.	0
La gente no podía oírme hablar y tuve que sacar el auricular y hablar por teléfono.	0
No tiene carga.	0
Este es un pequeño teléfono simple de usar, pero la rotura es inaceptable.	0
Este producto es ideal para personas como yo cuyos oídos son muy sensibles.	1
Es inutilizable en un automóvil en movimiento a velocidad de autopista.	0
Me quedan dos años más en este contrato y odio este teléfono.	0
Se incluyen tanto el cargador para automóvil como el cargador de CA para asegurarse de que nunca se quede sin jugo.	1
Necesita al menos 3 minutos para acceder a su directorio telefónico desde el momento en que enciende el teléfono por primera vez. La vida útil de la batería es corta.	0
Se ha mantenido muy bien.	1
Pobre tiempo de conversación.	0
El estuche es genial y funciona bien con el 680.	1
Producto sin valor.	0
Tiene una gran cámara de 2MP, y las fotos son bonitas y claras con una gran calidad de imagen.	1
No me impresionó este producto.	0
Bonito auricular con el precio correcto.	1
Solo escucho basura para el audio.	0
Excelente auricular bluetooth.	1
Tiene todas las características que quiero.	1
¿Quién en su sano juicio va a comprar esta batería?	0
DESPUÉS DE DISCUTIR CON VERIZON CON RESPECTO A LAS LLAMADAS BAJADAS, REGRESAMOS LOS TELÉFONOS DESPUÉS DE DOS DÍAS.	0
Este caso parece estar bien hecho.	1
Decepcionado con la batería.	0
No es lo suficientemente fuerte y no se enciende como debería.	0
buena protección y no hace que el teléfono sea demasiado voluminoso.	1
Un teclado utilizable en realidad convierte un PDA en una máquina útil del mundo real en lugar de un simple dispositivo.	1
Este teléfono es bastante resistente y nunca he tenido grandes problemas con él.	1
¡Amo esta cosa!	1
Todo está bien y es razonable por el precio, es decir	1
MUY DECEPCIONADO.	0
¡Incluso dejé caer este teléfono en una transmisión y lo sumergí durante 15 segundos y aún funciona muy bien!	1
Estoy muy contento con el 510 y NO he tenido quejas de nadie con respecto a mi calidad de sonido.	1
Los botones de encendido y apagado son malos.	0
Esencialmente, puede olvidarse del soporte técnico de Microsoft.	0
Realmente recomiendo estas placas frontales ya que se ve muy agradable, elegante y genial.	1
Estos auriculares fueron un gran hallazgo, y creo que son quizás la mejor compra que he hecho en los últimos años, en serio.	1
Compre un teléfono diferente, pero no este.	0
Debe sostener el teléfono en un ángulo particular para que la otra parte lo escuche con claridad.	0
El gran inconveniente del reproductor de MP3 es que los botones en la cubierta frontal del teléfono que le permiten pausar y omitir canciones se bloquean después de unos segundos.	0
Una semana después, después de activarlo, de repente murió.	0
Se siente más cómodo que la mayoría de los auriculares porque uso lentes y eso a veces se interpone.	1
Ideal para iPOD también.	1
