Sentence	Label
Vậy là không có cách nào để tôi cắm nó vào đây ở Mỹ trừ khi tôi đi bằng máy chuyển đổi.	0
Trường hợp tốt, giá trị xuất sắc.	1
Tốt cho xương hàm.	1
Liên kết với Charlie cho các cuộc hội thoại kéo dài hơn 45 vấn đề minutes.MAJOR!!!	0
Mic rất tuyệt.	1
Tôi phải dùng máy để sửa nó để xếp thẳng hàng.	0
Nếu bạn có hàng trăm hoặc vài trăm lần liên lạc, hãy tưởng tượng niềm vui khi gửi từng người một.	0
Nếu anh là Razr ... anh phải có cái này!	1
Không cần phải nói, tôi đã lãng phí tiền của mình.	0
Đúng là phí tiền và thời gian!	0
Và chất lượng âm thanh rất tuyệt.	1
Ông rất ấn tượng khi từ pin ban đầu đến pin mở rộng.	1
Nếu cả hai bị cắt ngang bởi chỉ 5 + ft tôi bắt đầu chú ý đến âm thanh tĩnh quá mức từ tai nghe.	0
Chất lượng rất tốt.	1
"Thiết kế rất lạ, vì tai ""clip"" không thoải mái lắm."	0
Đề nghị cấp cao cho bất kỳ ai có điện thoại răng xanh.	1
TÔI KHUYÊN MỌI NGƯỜI ĐỪNG BỊ LỪA!	0
Quá Tốt!	1
Làm tốt lắm!	1
Nó nhấp vào chỗ khiến bạn thắc mắc cơ chế đó sẽ kéo dài bao lâu.	0
Tôi đã lên trang web của Motorola và theo mọi hướng, nhưng không thể có nó lại.	0
Tôi đã mua nó để sử dụng Kindle Fire của mình và hoàn toàn thích nó!	1
Quảng cáo gây hiểu lầm nhất.	0
Tôi vẫn chưa chạy bộ pin mới này dưới 2 thanh và đó là ba ngày mà không tính phí.	1
Tôi mua cho mẹ tôi và bà ấy có vấn đề với cục pin.	0
Kết hợp Pocket PC/điện thoại tuyệt vời.	1
Tôi đã sở hữu chiếc điện thoại này 7 tháng rồi và có thể nói đó là chiếc điện thoại tốt nhất mà tôi có.	1
Tôi không nghĩ rằng những chỉ dẫn này giúp ích cho tôi.	0
Mọi người nghe tôi nói và tôi đã phải rút tai nghe và nói chuyện điện thoại.	0
Không chịu trách nhiệm.	0
Đây là một chiếc điện thoại nhỏ đơn giản để sử dụng, nhưng sự phá vỡ là không thể chấp nhận được.	0
Sản phẩm này là lý tưởng cho những người như tôi có tai rất nhạy cảm.	1
Nó không thể sử dụng trong một chiếc xe đang di chuyển ở tốc độ cao tốc.	0
Tôi còn 2 năm nữa trong hợp đồng này và tôi ghét cái điện thoại này.	0
Sạc xe cũng như sạc điện xoay được bao gồm để đảm bảo bạn không bao giờ hết nước trái cây.	1
Anh cần ít nhất 3 phút để lấy cuốn sách điện thoại của mình ngay từ lần đầu anh bật điện thoại.	0
Nó được giữ lại rất tốt.	1
Trình Diễn Thời Gian Nói Chuyện.	0
Vụ án rất tốt và hiệu quả với 680.	1
sản phẩm vô dụng	0
Nó có một cái máy ảnh tuyệt vời 2MP, và các hình ảnh rất đẹp và rõ ràng với chất lượng hình ảnh tuyệt vời.	1
Tôi không bị ấn tượng bởi sản phẩm này.	0
Áo đẹp cũng đắt đấy.	1
Tôi chỉ nghe tiếng đổ rác cho âm thanh.	0
Tai nghe bluetooth tuyệt vời.	1
Nó có tất cả các tính năng tôi muốn	1
Ai trong tâm trí họ sẽ mua lại cục pin này?	0
SAU KHI TRANH CÃI VỚI VERIZON LIÊN QUAN ĐẾN CÁC CUỘC GỌI RƠI CHÚNG TÔI ĐÃ TRẢ LẠI ĐIỆN THOẠI SAU HAI NGÀY.	0
Vụ này có vẻ hợp lý đấy.	1
Thất vọng với pin.	0
Không đủ lớn và không bật lên như nó nên.	0
bảo vệ tốt và không làm cho điện thoại trở nên cồng kềnh.	1
Một bàn phím có thể sử dụng thực sự biến một PDA thành một cỗ máy hữu ích thế giới thực thay vì chỉ là một thiết bị gọn gàng.	1
